locationKey,neighbourhoodGroup,neighbourhoodName
63,City of Los Angeles,Mid-Wilshire
64,City of Los Angeles,Mission Hills
65,City of Los Angeles,Montecito Heights
66,City of Los Angeles,Mount Washington
67,City of Los Angeles,North Hills
68,City of Los Angeles,North Hollywood
69,City of Los Angeles,Northridge
70,City of Los Angeles,Pacific Palisades
71,City of Los Angeles,Pacoima
72,City of Los Angeles,Palms
73,City of Los Angeles,Panorama City
74,City of Los Angeles,Pico-Robertson
75,City of Los Angeles,Pico-Union
76,City of Los Angeles,Playa Vista
77,City of Los Angeles,Playa del Rey
78,City of Los Angeles,Porter Ranch
79,City of Los Angeles,Rancho Park
80,City of Los Angeles,Reseda
81,City of Los Angeles,San Pedro
82,City of Los Angeles,Sawtelle
83,City of Los Angeles,Sepulveda Basin
84,City of Los Angeles,Shadow Hills
85,City of Los Angeles,Sherman Oaks
86,City of Los Angeles,Silver Lake
87,City of Los Angeles,South Park
88,City of Los Angeles,Studio City
89,City of Los Angeles,Sun Valley
90,City of Los Angeles,Sunland
91,City of Los Angeles,Sylmar
92,City of Los Angeles,Tarzana
93,City of Los Angeles,Toluca Lake
94,City of Los Angeles,Tujunga
95,City of Los Angeles,University Park
96,City of Los Angeles,Valley Glen
97,City of Los Angeles,Valley Village
98,City of Los Angeles,Van Nuys
99,City of Los Angeles,Venice
100,City of Los Angeles,Vermont Knolls
101,City of Los Angeles,Vermont Square
102,City of Los Angeles,Vermont Vista
103,City of Los Angeles,Vermont-Slauson
104,City of Los Angeles,Watts
105,City of Los Angeles,West Adams
106,City of Los Angeles,West Hills
107,City of Los Angeles,West Los Angeles
108,City of Los Angeles,Westchester
109,City of Los Angeles,Westlake
110,City of Los Angeles,Westwood
111,City of Los Angeles,Wilmington
112,City of Los Angeles,Windsor Square
113,City of Los Angeles,Winnetka
114,City of Los Angeles,Woodland Hills
115,Other Cities,Agoura Hills
116,Other Cities,Alhambra
117,Other Cities,Arcadia
118,Other Cities,Artesia
119,Other Cities,Avalon
120,Other Cities,Azusa
121,Other Cities,Baldwin Park
122,Other Cities,Bell
123,Other Cities,Bell Gardens
124,Other Cities,Bellflower
125,Other Cities,Beverly Hills
126,Other Cities,Bradbury
127,Other Cities,Burbank
128,Other Cities,Calabasas
129,Other Cities,Carson
130,Other Cities,Cerritos
131,Other Cities,Claremont
132,Other Cities,Commerce
133,Other Cities,Compton
134,Other Cities,Covina
135,Other Cities,Cudahy
136,Other Cities,Culver City
137,Other Cities,Diamond Bar
138,Other Cities,Downey
139,Other Cities,Duarte
140,Other Cities,El Monte
141,Other Cities,El Segundo
142,Other Cities,Gardena
143,Other Cities,Glendale
144,Other Cities,Glendora
145,Other Cities,Hawaiian Gardens
146,Other Cities,Hawthorne
147,Other Cities,Hermosa Beach
148,Other Cities,Hidden Hills
149,Other Cities,Huntington Park
150,Other Cities,Industry
151,Other Cities,Inglewood
152,Other Cities,Irwindale
153,Other Cities,La Canada Flintridge
154,Other Cities,La Habra Heights
155,Other Cities,La Mirada
156,Other Cities,La Puente
157,Other Cities,La Verne
158,Other Cities,Lakewood
159,Other Cities,Lancaster
160,Other Cities,Lawndale
161,Other Cities,Lomita
162,Other Cities,Long Beach
163,Other Cities,Lynwood
164,Other Cities,Malibu
165,Other Cities,Manhattan Beach
166,Other Cities,Maywood
